time,rate,Current Probability %,Previous Day Probability %
2016-11-02,25-50,91.7,91.7
2016-11-02,50-75,8.3,8.3
2016-12-14,25-50,30.5,34.9
2016-12-14,50-75,64.0,60.0
2016-12-14,75-100,5.5,5.1
2017-02-01,25-50,28.0,32.1
2017-02-01,50-75,61.3,58.0
2017-02-01,75-100,10.2,9.5
2017-02-01,100-125,0.4,0.4
2017-03-15,25-50,25.6,27.8
2017-03-15,50-75,58.4,54.6
2017-03-15,75-100,14.7,16.0
2017-03-15,100-125,1.3,1.6
2017-03-15,125-150,0.0,0.1
2017-05-03,25-50,23.4,26.0
2017-05-03,50-75,55.6,52.8
2017-05-03,75-100,18.5,18.4
2017-05-03,100-125,2.5,2.5
2017-05-03,125-150,0.1,0.2
2017-05-03,150-175,0.0,0.0
2017-06-14,25-50,20.1,22.4
2017-06-14,50-75,51.1,49.1
2017-06-14,75-100,23.6,23.2
2017-06-14,100-125,4.7,4.7
2017-06-14,125-150,0.5,0.5
2017-06-14,150-175,0.0,0.0
2017-06-14,175-200,0.0,0.0
2017-07-26,25-50,19.1,21.3
2017-07-26,50-75,49.6,47.8
2017-07-26,75-100,25.0,24.5
2017-07-26,100-125,5.6,5.7
2017-07-26,125-150,0.7,0.7
2017-07-26,150-175,0.0,0.0
2017-07-26,175-200,0.0,0.0
2017-07-26,200-225,0.0,0.0
2017-09-20,25-50,17.1,19.0
2017-09-20,50-75,46.2,44.9
2017-09-20,75-100,27.6,27.0
2017-09-20,100-125,7.7,7.7
2017-09-20,125-150,1.2,1.2
2017-09-20,150-175,0.1,0.1
2017-09-20,175-200,0.0,0.0
2017-09-20,200-225,0.0,0.0
2017-09-20,225-250,0.0,0.0
